,X,y,w,ids
0,Terbutylchlorambucil,1,1.0,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl
1,Dexamfetamine,1,1.0,C[C@H](N)Cc1ccccc1
2,thiamphenicol,1,1.0,C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl
3,mexiletine,1,1.0,CC(N)COc1c(C)cccc1C
4,38480,1,1.0,c1(ccccc1)CC
5,Bacitracin,1,1.0,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O
6,celiprolol,1,1.0,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O
7,acetaminophen,1,1.0,CC(=O)Nc1ccc(O)cc1
8,acetylsalicylate,0,1.0,CC(=O)Oc1ccccc1C(O)=O
9,carbidopa,0,1.0,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O
10,chlorambucil,0,1.0,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
11,phenelzine sulfate,1,1.0,NNCCc1ccccc1.O[S](O)(=O)=O
12,phenprobamate,1,1.0,NC(=O)OCCCc1ccccc1
13,Norepinephrine,0,1.0,NCC(O)c1ccc(O)c(O)c1
14,chloramphenicol,0,1.0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O
15,chlorpropamide,0,1.0,CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1
16,clofibrate,0,1.0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
17,clofibric acid,0,1.0,CC(C)(Oc1ccc(Cl)cc1)C(O)=O
18,procaine,1,1.0,CCN(CC)CCOC(=O)c1ccc(N)cc1
19,propofol,1,1.0,CC(C)c1cccc(C(C)C)c1O
20,dopamine,0,1.0,NCCc1ccc(O)c(O)c1
21,Ephedrine,0,1.0,CN[C@@H](C)[C@H](O)c1ccccc1
22,epinephrine,0,1.0,CNC[C@H](O)c1ccc(O)c(O)c1
23,Ethacrynic acid,0,1.0,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl
24,guanabenz,0,1.0,NC(N)=N\N=C\c1c(Cl)cccc1Cl
25,ibuprofen,0,1.0,CC(C)Cc1ccc(cc1)C(C)C(O)=O
26,Metaraminol,0,1.0,C[C@H](N)[C@H](O)c1cccc(O)c1
27,Isoproterenol,0,1.0,CC(C)NCC(O)c1ccc(O)c(O)c1
28,levodopa,0,1.0,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O
29,Metoprolol,1,1.0,COCCc1ccc(OCC(O)CNC(C)C)cc1
30,melphalan,0,1.0,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
31,methyldopa,0,1.0,C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O
32,Sodiumamidotrizoate,0,1.0,[Na+].CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I
33,Sotalol,1,1.0,CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1
34,norfenefrine,0,1.0,NCC(O)c1cccc(O)c1
35,phenacetin,0,1.0,CCOc1ccc(NC(C)=O)cc1
36,probenecid,0,1.0,CCCN(CCC)[S](=O)(=O)c1ccc(cc1)C(O)=O
37,salicylic acid,0,1.0,OC(=O)c1ccccc1O
38,Atenolol,0,1.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
39,Benzene,1,1.0,c1ccccc1
40,tolbutamide,0,1.0,CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1
41,amphetamine,1,1.0,CC(N)Cc1ccccc1
42,Ethylbenzene,1,1.0,CCc1ccccc1
43,benzocaine,1,1.0,CCOC(=O)c1ccc(N)cc1
44,bupropion,1,1.0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
45,buramate,1,1.0,OCCOC(=O)NCc1ccccc1
46,Salicyluricacid,1,1.0,OC(=O)CNC(=O)c1ccccc1O
47,Toluene,1,1.0,Cc1ccccc1
48,m-Xylene,1,1.0,Cc1cccc(C)c1
49,DMT,1,1.0,COC(=O)c1ccc(cc1)C(=O)OC
50,o-Xylene,1,1.0,Cc1ccccc1C
51,p-Xylene,1,1.0,Cc1ccc(C)cc1
52,Tertbutylchlorambucil,1,1.0,c1cc(ccc1CCCC(OC(C)(C)C)=O)N(CCCl)CCCl
53,salbutamol,0,1.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
54,hydroxyphenamate,1,1.0,CCC(O)(COC(N)=O)c1ccccc1
55,lidocaine,1,1.0,CCN(CC)CC(=O)Nc1c(C)cccc1C
56,meclofenoxate,1,1.0,CN(C)CCOC(=O)COc1ccc(Cl)cc1
57,Acebutolol,1,1.0,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
58,mescaline,1,1.0,COc1cc(CCN)cc(OC)c1OC
59,methamphetamine,1,1.0,CN[C@@H](C)Cc1ccccc1
60,methocarbamol,1,1.0,COc1ccccc1OCC(O)COC(N)=O
61,Aminosalicylicacid,0,1.0,Nc1ccc(C(O)=O)c(O)c1
62,adrenaline,0,1.0,CNCC(O)c1ccc(O)c(O)c1
63,benserazide,0,1.0,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
64,carbuterol,0,1.0,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1
65,dipivefrin,0,1.0,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
66,etilefrine,0,1.0,CCNCC(O)c1cccc(O)c1
67,hydroxyamphetamine,0,1.0,CC(Cc1ccccc1)NO
68,hydroxyephedrine,0,1.0,CNC(C)C(O)c1ccc(O)cc1
69,methoxyphedrine,0,1.0,CNC(C)C(=O)c1ccc(OC)cc1
70,pivenfrine,0,1.0,CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1
71,alaproclate,1,1.0,C1=CC(=CC=C1CC(OC(C(C)N)=O)(C)C)Cl
72,aspirin,1,1.0,C1=CC=CC(=C1C(O)=O)OC(C)=O
73,beclamide,1,1.0,C1=CC=CC=C1CNC(CCCl)=O
74,benzyl-alcohol,1,1.0,C(C1=CC=CC=C1)O
75,brosotamide,1,1.0,C1=C(C(=C(C=C1Br)C)O)C(N)=O
76,butacetin,1,1.0,C1=C(C=CC(=C1)NC(C)=O)OC(C)(C)C
77,caproxamine,1,1.0,C1=C(C(=CC=C1C(/CCCCC)=N\OCCN)C)N
78,carfimate,1,1.0,C1=C(C(OC(N)=O)C#C)C=CC=C1
79,carzenide,1,1.0,C1=C(C=CC(=C1)[S](N)(=O)=O)C(O)=O
80,cathinone,1,1.0,[C@@H](C(C1=CC=CC=C1)=O)(C)N
81,cetophenicol/cetofenicol,1,1.0,C1=C(C(O)C(CO)NC(C(Cl)Cl)=O)C=CC(=C1)C(=O)C
82,clorgiline,1,1.0,C1=C(C(=CC(=C1)Cl)Cl)OCCCN(CC#C)C
83,decimemide,1,1.0,C1=C(C(N)=O)C=C(C(=C1OC)OCCCCCCCCCC)OC
84,diclometide,1,1.0,C1=C(Cl)C=C(C(=C1C(NCCN(CC)CC)=O)OC)Cl
85,dimethylamphetamine(dimethamphetamine),1,1.0,CN(C(C)CC1=CC=CC=C1)C
86,embutramide,1,1.0,C1=C(C=CC=C1C(CNC(CCCO)=O)(CC)CC)OC
87,felbamate,1,1.0,C1=C(C(COC(N)=O)COC(N)=O)C=CC=C1
88,fenpentadiol,1,1.0,C1=CC(=CC=C1C(CC(C)(C)O)(C)O)Cl
89,flerobuterol,1,1.0,C1=C(C(CNC(C)(C)C)O)C(=CC=C1)F
90,florfenicol,1,1.0,[C@@H](C1=CC=C(C=C1)[S](C)(=O)=O)([C@H](NC(C(Cl)Cl)=O)CF)O
91,flubanilate,1,1.0,CCOC(=O)N(CCN(C)C)c1cccc(c1)C(F)(F)F
92,fluoresone,1,1.0,C1=CC(=CC=C1[S](CC)(=O)=O)F
93,fluvoxamine,1,1.0,C1=C(C(F)(F)F)C=CC(=C1)C(=N/OCCN)/CCCCOC.O=C(O)\C=C/C(=O)O
94,iproclozide,1,1.0,C1=CC(=CC=C1OCC(NNC(C)C)=O)Cl
95,mebanazine,1,1.0,C1=CC=CC=C1C(NN)C
96,mefexamide,1,1.0,[H+].C1=C(OCC(=O)NCCN(CC)CC)C=CC(=C1)OC.[Cl-]
97,metacetamol,1,1.0,C1=C(C=CC=C1O)NC(C)=O
98,metaglycodol,1,1.0,C1=C(C(C(C)(C)O)(C)O)C=CC=C1Cl
99,pargyline,1,1.0,C1=CC=CC=C1CN(CC#C)C
100,phenacemide,1,1.0,C1=CC=CC=C1CC(NC(N)=O)=O
101,pheneturide,1,1.0,C1=CC=CC=C1C(C(NC(N)=O)=O)CC
102,phenoxypropazine(fenoxypropazine),1,1.0,C1=C(OCC(NN)C)C=CC=C1
103,procarbazine,1,1.0,C1=CC(=CC=C1C(NC(C)C)=O)CNNC
104,propacetamol,1,1.0,C1=CC(=CC=C1OC(CN(CC)CC)=O)NC(C)=O
105,propofol,1,1.0,C1=CC=C(C(=C1C(C)C)O)C(C)C
106,rivastigmine,1,1.0,[C@H](C1=CC(=CC=C1)OC(N(CC)C)=O)(N(C)C)C
107,salicylamide,1,1.0,C(C1=CC=CC=C1O)(=O)N
108,selegiline,1,1.0,[C@@H](CC1=CC=CC=C1)(N(CC#C)C)C
109,sumacetamol,1,1.0,[C@H](C(=O)OC1=CC=C(C=C1)NC(=O)C)(NC(=O)C)CCSC
110,toloxychlorinol,1,1.0,C1=CC=CC(=C1OCC(COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O)C
111,tricetamide,1,1.0,C1=C(C(=C(C=C1C(NCC(N(CC)CC)=O)=O)OC)OC)OC
112,zafuleptine,1,1.0,C1=CC(=CC=C1CNC(C(C)C)CCCCCC(O)=O)F
113,aletamine(alfetamine),1,1.0,C1=C(CC(CC=C)N)C=CC=C1
114,amiflamine,1,1.0,[C@@H](O)([C@@H](O)C(=O)O)C(=O)O.[C@@H](N)(CC1=CC=C(N(C)C)C=C1C)C
115,bromamid,1,1.0,C1=CC(=CC=C1NCCC(N(C)C)=O)Br
116,bromopride,1,1.0,C1=C(Br)C(=CC(=C1C(NCCN(CC)CC)=O)OC)N
117,carbenzide,1,1.0,C1=CC=CC=C1C(NNC(OCC)=O)C
118,cericlamine,1,1.0,[H+].C1=C(CC(N(C)C)(CO)C)C=CC(=C1Cl)Cl.[Cl-]
119,chlorphenesin-carbamate,1,1.0,C1=CC(=CC=C1OCC(COC(N)=O)O)Cl
120,cinromide,1,1.0,C1=C(C=CC=C1Br)\C=C\C(NCC)=O
121,cintriamide(cintramide),1,1.0,C1=C(C(=C(C=C1\C=C\C(N)=O)OC)OC)OC
122,clofexamide,1,1.0,C1=CC(=CC=C1OCC(NCCN(CC)CC)=O)Cl
123,clovoxamine,1,1.0,C1=C(C(=N/OCCN)/CCCCOC)C=CC(=C1)Cl
124,fenaclon,1,1.0,C1=CC=CC=C1CCNC(CCCl)=O
125,guanoxyfen,1,1.0,NC(=N)NCCCOc1ccccc1
126,levodopa,1,1.0,[C@H](CC1=CC(=C(C=C1)O)O)(C(O)=O)N
127,metamfepramone,1,1.0,C1=CC=CC(=C1)C(=O)C(C)N(C)C
128,mofegiline,1,1.0,C1=C(CC\C(CN)=C/F)C=CC(=C1)F
129,paracetamol(acetaminophen),1,1.0,N(C(=O)C)C1=CC=C(O)C=C1
130,parapropamol,1,1.0,C1=C(NC(CC)=O)C=CC(=C1)O
131,phenaglycodol,1,1.0,C1=C(C(C(C)(C)O)(C)O)C=CC(=C1)Cl
132,phenelzine,1,1.0,[Cl].C1=CC=CC=C1CCNN
133,pheniprazine,1,1.0,C1=CC=CC=C1CC(NN)C
134,tiapride,1,1.0,C1=C([S](C)(=O)=O)C=CC(=C1C(NCCN(CC)CC)=O)OC
135,triclacetamol,1,1.0,C1=C(NC(C(Cl)(Cl)Cl)=O)C=CC(=C1)O
