,X,y,w,ids
0,citral,-2.06,1.0,CC(C)=CCCC(C)=CC(=O)
1,1-Pentene ,-2.68,1.0,CCCC=C
2,Tetradecane,-7.96,1.0,CCCCCCCCCCCCCC
3,2-Chloropropane,-1.41,1.0,CC(C)Cl
4,2-Methylbutanol,-0.47,1.0,CCC(C)CO
5,2-Undecanol,-2.94,1.0,CCCCCCCCCC(C)O
6,Phorate,-4.11,1.0,CCOP(=S)(OCC)SCSCC
7,1-Heptanol,-1.81,1.0,CCCCCCCO
8,Methyl octanoate,-3.17,1.0,CCCCCCCC(=O)OC
9,Terbufos,-4.755,1.0,CCOP(=S)(OCC)SCSC(C)(C)C
10,"1,1-Dichloroethylene",-1.64,1.0,ClC(=C)Cl
11,Valeraldehyde,-0.85,1.0,CCCCC=O
12,1-Iodoheptane,-4.81,1.0,CCCCCCCI
13,4-Pentene-1-ol,-0.15,1.0,OCCCC=C
14,Isopropyl formate,-0.63,1.0,CC(C)OC=O
15,2-Heptanol ,-1.55,1.0,CCCCCC(C)O
16,1-Octyne ,-3.66,1.0,CCCCCCC#C
17,"2,2,5-Trimethylhexane",-5.05,1.0,CC(C)CCC(C)(C)C
18,2-Pentanone,-0.19,1.0,CCCC(=O)C
19,Methyl butyrate,-0.82,1.0,CCCOC(=O)CC
20,Carbromal,-2.68,1.0,CCC(Br)(CC)C(=O)NC(N)=O
21,Pentyl propanoate,-2.25,1.0,CCCCC(=O)OCC
22,Isopentyl acetate,-1.92,1.0,CC(C)CCOC(=O)C
23,1-Bromopropane,-1.73,1.0,CCCBr
24,Formothion,-1.995,1.0,COP(=S)(OC)SCC(=O)N(C)C=O
25,Thiourea,0.32,1.0,NC(=S)N
26,Hexachloroethane,-3.67,1.0,ClC(Cl)(Cl)C(Cl)(Cl)Cl
27,1-Nitropropane,-0.8,1.0,CCCN(=O)=O
28,Propylisopropylether,-1.34,1.0,CCCOC(C)C
29,Dichloromethane,-0.63,1.0,ClCCl
30,Methyl formate,0.58,1.0,COC=O
31,2-Methylpropane,-2.55,1.0,CC(C)C
32,Pentane,-3.18,1.0,CCCCC
33,2-Methyl-1-Pentene,-3.03,1.0,CCCC(=C)C
34,"2,3,4-Trimethylpentane",-4.8,1.0,CC(C)C(C)C(C)C
35,1-Decene,-5.51,1.0,CCCCCCCCC=C
36,Glyceryl triacetate,-0.6,1.0,CC(=O)OCC(COC(=O)C)OC(=O)C
37,1-Bromoheptane,-4.43,1.0,CCCCCCCBr
