,X,y,w,ids
0,CHEMBL645,0.1,1.0,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
1,CHEMBL443320,-1.34,1.0,Cc1ccc(NC(=N)N)cc1C
2,CHEMBL322122,-0.15,1.0,CC(C)C(=O)NCCNCC(O)COc1ccc(O)cc1
3,CHEMBL74582,3.07,1.0,C[C@@](O)(C(=O)Nc1ccc(cc1Cl)S(=O)(=O)NCC=C)C(F)(F)F
4,CHEMBL546,0.2,1.0,CC(C)NCC(O)COc1ccccc1OCC=C
5,CHEMBL158766,1.37,1.0,Cc1ccc(O)c(O)c1
6,CHEMBL129529,1.93,1.0,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
7,CHEMBL1789148,0.38,1.0,CCC(CCNC)Oc1cc(Cl)ccc1C#N
8,CHEMBL1241590,0.44,1.0,CS(=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl
9,CHEMBL569,0.0,1.0,CCN(CC)CCOC(=O)c1ccc(N)cc1
10,CHEMBL1762,-0.15,1.0,CC(N)C(=O)Nc1c(C)cccc1C
11,CHEMBL1229059,1.28,1.0,NC(=N)SCc1ccc(Cl)c(Cl)c1
12,CHEMBL640,-0.92,1.0,CCN(CC)CCNC(=O)c1ccc(N)cc1
13,CHEMBL211456,-1.15,1.0,CN[C@@H](C)[C@H](O)c1ccccc1
14,CHEMBL47406,0.92,1.0,COC(=O)COc1ccc(O)cc1
15,CHEMBL1194666,1.18,1.0,CCN(CC)C(C)C(=O)c1ccccc1
16,CHEMBL266195,0.99,1.0,CC(C)NCC(O)COc1ccccc1CC=C
17,CHEMBL424,-1.36,1.0,OC(=O)c1ccccc1O
18,CHEMBL782,0.44,1.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
19,CHEMBL167151,1.3,1.0,CCCc1c(O)c(ccc1OCCCCSCC(=O)O)C(=O)C
20,CHEMBL16073,1.5,1.0,CCOc1ccc(NC(=O)C)cc1
21,CHEMBL2089383,1.68,1.0,COc1ccc(NC(=O)C=C)cc1
22,CHEMBL339059,1.75,1.0,NC(=O)c1ccc(Br)cc1
23,CHEMBL515,1.47,1.0,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
24,CHEMBL17,0.92,1.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N
25,CHEMBL139725,0.83,1.0,OB(O)c1ccccc1C=O
26,CHEMBL191413,0.51,1.0,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)NS(=O)(=O)C
27,CHEMBL133996,-0.01,1.0,CC(C)NCCCOc1ccc(NC(=O)C)cc1CC=C
28,CHEMBL1437065,0.81,1.0,NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
29,CHEMBL1222330,-1.1,1.0,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O
30,CHEMBL429405,0.39,1.0,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O
31,CHEMBL457,0.72,1.0,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
32,CHEMBL130,1.15,1.0,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-]
33,CHEMBL1201236,-0.7,1.0,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
34,CHEMBL533,1.2,1.0,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1
35,CHEMBL498,-0.33,1.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
36,CHEMBL980,0.24,1.0,COc1ccccc1OCC(O)CO
37,CHEMBL894,2.12,1.0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
38,CHEMBL2172782,0.78,1.0,CC(C)Cc1ccc(cc1)C(C)C(=O)NS(=O)(=O)C
39,CHEMBL278172,1.83,1.0,CCOC(=O)c1ccc(N)cc1
40,CHEMBL40999,-0.31,1.0,NC(=N)Nc1ccc(Cl)c(Cl)c1
41,CHEMBL8663,2.16,1.0,CC(Cc1ccccc1)N(C)CC#C
42,CHEMBL27577,1.09,1.0,NC(=O)c1ccccc1O
43,CHEMBL87563,2.41,1.0,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1
44,CHEMBL806,3.46,1.0,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]
45,CHEMBL347645,0.3,1.0,NC(=O)Cc1ccccc1
46,CHEMBL1201117,0.36,1.0,COc1ccccc1OCC(O)COC(=O)N
47,CHEMBL168073,2.63,1.0,CCN(CC)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)cc1
48,CHEMBL147507,0.6,1.0,C[C@@H](N)COc1c(C)cccc1C
49,CHEMBL73048,2.08,1.0,C[C@@](O)(C(=O)Nc1ccc(cc1Cl)S(=O)(=O)C)C(F)(F)F
50,CHEMBL112,0.25,1.0,CC(=O)Nc1ccc(O)cc1
51,CHEMBL86,0.34,1.0,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
52,CHEMBL84158,-0.9,1.0,CCN(CC)CCNC(=O)c1cc(ccc1OC)S(=O)(=O)C
53,CHEMBL1186433,-0.28,1.0,CC(=N)NCc1ccccc1
54,CHEMBL897,0.03,1.0,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O
55,CHEMBL1201212,-0.71,1.0,COc1ccc(OC)c(c1)C(O)CNC(=O)CN
56,CHEMBL558,0.62,1.0,CC(N)COc1c(C)cccc1C
57,CHEMBL1568309,1.0,1.0,CC(=O)Nc1ccccc1C
58,CHEMBL399510,0.54,1.0,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
59,CHEMBL2086478,2.25,1.0,Cc1ccc(NC(=O)C=C)cc1
60,CHEMBL456,0.02,1.0,CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
61,CHEMBL146855,0.6,1.0,C[C@H](N)COc1c(C)cccc1C
62,CHEMBL698,2.11,1.0,CCCCNc1ccc(cc1)C(=O)OCCN(C)C
63,CHEMBL306835,2.1,1.0,C[C@@](O)(C(=O)Nc1ccc(cc1Cl)S(=O)(=O)NCCCO)C(F)(F)F
64,CHEMBL314566,3.58,1.0,Oc1cc(Cl)cc(Cl)c1
65,CHEMBL481312,1.1,1.0,CN(C(=O)C)c1ccccc1
66,CHEMBL74399,3.66,1.0,CCN(CC)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
67,CHEMBL1621884,1.55,1.0,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F
68,CHEMBL1235242,-1.06,1.0,N[C@@H](Cc1ccc(F)cc1)C(=O)O
69,CHEMBL642,-0.27,1.0,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C
70,CHEMBL1927345,2.09,1.0,Cc1ccc(\C=C(/C#N)\C(=O)N)cc1
71,CHEMBL274009,-0.96,1.0,Nc1ccccc1[N+](=O)[O-]
72,CHEMBL1610669,2.67,1.0,CC(C)CCOc1ccc(N)cc1
