,X,y,w,ids
0,C([H])([H])([H])[H],-417.96,1.0,C([H])([H])([H])[H]
1,[H]C([H])([H])C([H])([H])[H],-712.42,1.0,[H]C([H])([H])C([H])([H])[H]
2,[H]C([H])=C([H])[H],-564.21,1.0,[H]C([H])=C([H])[H]
3,[H]C#C[H],-404.88,1.0,[H]C#C[H]
4,[H]OC([H])([H])C([H])([H])[H],-808.87,1.0,[H]OC([H])([H])C([H])([H])[H]
5,[H]C(=O)C([H])([H])[H],-677.16,1.0,[H]C(=O)C([H])([H])[H]
6,[H]C([H])([H])OC([H])([H])[H],-796.98,1.0,[H]C([H])([H])OC([H])([H])[H]
7,[H]C([H])([H])C([H])([H])C([H])([H])[H],-1008.49,1.0,[H]C([H])([H])C([H])([H])C([H])([H])[H]
8,[H]C([H])=C([H])C([H])([H])[H],-861.73,1.0,[H]C([H])=C([H])C([H])([H])[H]
9,[H]C#CC([H])([H])[H],-708.37,1.0,[H]C#CC([H])([H])[H]
10,[H]N([H])C([H])([H])C([H])([H])[H],-879.38,1.0,[H]N([H])C([H])([H])C([H])([H])[H]
11,[H]C([H])([H])C#N,-618.72,1.0,[H]C([H])([H])C#N
12,[H]N(C([H])([H])[H])C([H])([H])[H],-871.19,1.0,[H]N(C([H])([H])[H])C([H])([H])[H]
13,[H]C([H])([H])C#CC([H])([H])[H],-1010.86,1.0,[H]C([H])([H])C#CC([H])([H])[H]
14,[H]C([H])=C([H])C([H])([H])C([H])([H])[H],-1159.41,1.0,[H]C([H])=C([H])C([H])([H])C([H])([H])[H]
15,[H]C#CC([H])([H])C([H])([H])[H],-1003.91,1.0,[H]C#CC([H])([H])C([H])([H])[H]
16,[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H],-1174.99,1.0,[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H]
17,[H]C([H])=C([H])C#N,-768.02,1.0,[H]C([H])=C([H])C#N
18,[H]C#CC#N,-596.35,1.0,[H]C#CC#N
19,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1177.16,1.0,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
20,[H]C([H])([H])C([H])([H])C#N,-914.2,1.0,[H]C([H])([H])C([H])([H])C#N
21,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1168.84,1.0,[H]N(C([H])([H])[H])C([H])([H])C([H])([H])[H]
22,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],-1163.14,1.0,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
23,[H]C([H])=C([H])C([H])([H])N([H])[H],-1028.25,1.0,[H]C([H])=C([H])C([H])([H])N([H])[H]
24,[H]C#CC([H])([H])N([H])[H],-871.86,1.0,[H]C#CC([H])([H])N([H])[H]
